title,id,abstract,categories,doi,created,updated,authors,affiliation,url
direct inversion scheme of time-domain fluorescence diffuse optical   tomography by asymptotic analysis of peak time,2502.01037,"this paper proposes a direct inversion scheme for fluorescence diffuse optical tomography (fdot) to reconstruct the location of a point target using the measured peak time of the temporal response functions. a sphere is defined for the target, with its radius determined by the peak time, indicating that the target lies on the sphere. by constructing a tetrahedron with edges determined by the radii, we identify the location of the target as the vertex of the tetrahedron. asymptotically, we derive the relationship between the radius of the sphere and the peak time. several numerical tests are implemented to demonstrate the accuracy and performance of the asymptotic relationship and the inversion scheme.",math.ap math-ph math.mp,,2025-02-02,,"['shuli chen', 'junyong eom', 'gen nakamura', 'goro nishimura']",[],https://arxiv.org/abs/2502.01037
existence of unconditional frames formed by system of translates in   modulation spaces,2502.01047,"let $1\leq p\leq 2$ and let $\lambda = \{\lambda_n\}_{n\in \mathbb{n}} \subseteq \mathbb{r}$ be an arbitrary subset. we prove that for any $g\in m^p(\mathbb{r})$ with $1\leq p\leq 2$ the system of translates $\{g(x-\lambda_n)\}_{n\in \mathbb{n}}$ is never an unconditional basis for $m^q(\mathbb{r})$ for $p\leq q\leq p'$, where $p'$ is the conjugate exponent of $p.$ in particular, $m^1(\mathbb{r})$ does not admit any schauder basis formed by a system of translates. we also prove that for any $g\in m^p(\mathbb{r})$ with $1< p\leq 2$ the system of translates $\{g(x-\lambda_n)\}_{n\in \mathbb{n}}$ is never an unconditional frame for $m^p(\mathbb{r}).$ several results regarding the existence of unconditional frames formed by a system of translates in $m^1(\mathbb{r})$ as well as in $m^p(\mathbb{r})$ with $2<p<\infty$ will be presented as well.",math.fa,,2025-02-02,2025-02-12,['pu-ting yu'],[],https://arxiv.org/abs/2502.01047
on the surprising robustness of sequential convex optimization for   contact-implicit motion planning,2502.01055,"contact-implicit motion planning-embedding contact sequencing as implicit complementarity constraints-holds the promise of leveraging continuous optimization to discover new contact patterns online. nevertheless, the resulting optimization, being an instance of mathematical programming with complementary constraints, fails the classical constraint qualifications that are crucial for the convergence of popular numerical solvers. we present robust contact-implicit motion planning with sequential convex programming (crisp), a solver that departs from the usual primal-dual algorithmic framework but instead only focuses on the primal problem. crisp solves a convex quadratic program with an adaptive trust region radius at each iteration, and its convergence is evaluated by a merit function using weighted penalty. we (i) provide sufficient conditions on crisp's convergence to first-order stationary points of the merit function; (ii) release a high-performance c++ implementation of crisp with a generic nonlinear programming interface; and (iii) demonstrate crisp's surprising robustness in solving contact-implicit planning with naive initialization. in fact, crisp solves several contact-implicit problems with all-zero initialization.",math.oc cs.ro,,2025-02-03,2025-03-01,"['yulin li', 'haoyu han', 'shucheng kang', 'jun ma', 'heng yang']",[],https://arxiv.org/abs/2502.01055
time-asymptotic stability of composite wave for the one-dimensional   compressible fluid of kortwewg type,2502.01063,"we study the asymptotic stability of a composition of rarefaction and shock waves for the one-dimensional barotropic compressible fluid of korteweg type, called the navier-stokes-korteweg(nsk) system. precisely, we show that the solution to the nsk system asymptotically converges to the composition of the rarefaction wave and shifted viscous-dispersive shock wave, under certain smallness assumption on the initial perturbation and strength of the waves. our method is based on the method of $a$-contraction with shift developed by kang and vasseur \cite{kv16}, successfully applied to obtain contraction or stability of nonlinear waves for hyperbolic systems.",math.ap,,2025-02-03,,"['sungho han', 'jeongho kim']",[],https://arxiv.org/abs/2502.01063
"acf-monotonicity formula on rcd(0,n) metric measure cones",2502.01064,"the acf-monotonicity formula is a powerful tool in the study of two-phase free boundary problems, which was introduced by alt, caffarelli, and friedman[1]. in this paper, we extend it to rcd(0,n) metric measure cones. as an application, we give a rigidity result for rcd(0,n) metric measure cones.",math.ap math.mg,,2025-02-03,,['lin sitan'],[],https://arxiv.org/abs/2502.01064
bound for the energy of graphs in terms of degrees and leaves,2502.01065,"we provide a new upper bound for the energy of graphs in terms of degrees and number of leaves. we apply this formula to study the energy of erd\""os-r\'enyi graphs and barabasi-albert trees.",math.co,,2025-02-03,,"['octavio arizmendi', 'samuel gurrola-viramontes']",[],https://arxiv.org/abs/2502.01065
"$\sqrt{-3}$-selmer groups, ideal class groups and large $3$-selmer ranks",2502.01069,"we consider the family of elliptic curves $e_{a,b}:y^2=x^3+a(x-b)^2$ with $a,b \in \mathbb{z}$. these elliptic curves have a rational $3$-isogeny, say $\varphi$. we give an upper and a lower bound on the rank of the $\varphi$-selmer group of $e_{a,b}$ over $k:=\mathbb{q}(\zeta_3)$ in terms of the $3$-part of the ideal class group of certain quadratic extension of $k$. using our bounds on the selmer groups, we construct infinitely many curves in this family with arbitrary large $3$-selmer rank over $k$ and no non-trivial $k$-rational point of order $3$. we also show that for a positive proportion of natural numbers $n$, the curve $e_{n,n}/\mathbb{q}$ has root number $-1$ and $3$-selmer rank $=1$.",math.nt,,2025-02-03,,"['somnath jha', 'dipramit majumdar', 'pratiksha shingavekar']",[],https://arxiv.org/abs/2502.01069
"compactification of homology cells, fujita's conjectures and the complex   projective space",2502.01072,"we show that a compact k\""ahler manifold $m$ containing a smooth connected divisor $d$ such that $m \setminus d$ is a homology cell, e.g., contractible, must be projective space with $d$ a hyperplane, provided $\dim m \not \equiv 3 \pmod 4$. this answers conjectures of fujita in these dimensions.",math.ag math.dg,,2025-02-03,2025-02-18,"['ping li', 'thomas peternell']",[],https://arxiv.org/abs/2502.01072
a global approach for generalized semi-infinte programs with polyhedral   parameter sets,2502.01075,"this paper studies generalized semi-infinite programs (gsips) defined with polyhedral parameter sets. assume these gsips are given by polynomials. we propose a new approach to solve them as a disjunctive program. this approach is based on the kurash-kuhn-tucker (kkt) conditions of the robust constraint and a technique called partial lagrange multiplier expressions. we summarize a semidefinite algorithm and study its convergence properties. numerical experiments are given to show the efficiency of our method. in addition, we checked its performance in gemstone cutting and robust control applications.",math.oc,,2025-02-03,,"['xiaomeng hu', 'jiawang nie', 'suhan zhong']",[],https://arxiv.org/abs/2502.01075
qnbo: quasi-newton meets bilevel optimization,2502.01076,"bilevel optimization, addressing challenges in hierarchical learning tasks, has gained significant interest in machine learning. the practical implementation of the gradient descent method to bilevel optimization encounters computational hurdles, notably the computation of the exact lower-level solution and the inverse hessian of the lower-level objective. although these two aspects are inherently connected, existing methods typically handle them separately by solving the lower-level problem and a linear system for the inverse hessian-vector product. in this paper, we introduce a general framework to address these computational challenges in a coordinated manner. specifically, we leverage quasi-newton algorithms to accelerate the resolution of the lower-level problem while efficiently approximating the inverse hessian-vector product. furthermore, by exploiting the superlinear convergence properties of bfgs, we establish the non-asymptotic convergence analysis of the bfgs adaptation within our framework. numerical experiments demonstrate the comparable or superior performance of the proposed algorithms in real-world learning tasks, including hyperparameter optimization, data hyper-cleaning, and few-shot meta-learning.",cs.lg math.oc,,2025-02-03,,"['sheng fang', 'yong-jin liu', 'wei yao', 'chengming yu', 'jin zhang']",[],https://arxiv.org/abs/2502.01076
