type,content,article_id
theorem,The approximate peak time for a small fluorescence lifetime satisfies   t^{p}_0 =  k^{-\frac{1}{2}}\lambda - \frac{7}{4}k^{-1} + \frac{\sqrt{k}}{\sqrt{k}+\beta\sqrt{vD}}k^{-1} + \ell + O\left(\lambda^{-1}\right) \quad \mbox{as} \quad \lambda \gg 1.,2502.01037
theorem,"The approximate peak time for a large fluorescence lifetime satisfies   t^{p}_\infty = (k-\ell^{-1})^{-\frac{1}{2}} \lambda + (k-\ell^{-1})^{-\frac{3}{4}} \alpha_\lambda \lambda^\frac{1}{2}  + O\left( \lambda^{-\frac{1}{2}} \right) \quad \mbox{as} \quad \lambda \gg 1,    where $\alpha_\lambda>0$ is   \alpha_\lambda := \left(-\log\left[ (\pi^{\frac{1}{2}} \ell^{-1} (k-\ell^{-1})^{-\frac{3}{4}}) \lambda^\frac{1}{2} \right] \right)^\frac{1}{2} < \infty.",2502.01037
definition,We define approximate peak time $t^{p}_0$ by the positive solution to    P(t) = \ell \left( P^{'}(t) + P(t)^2 \right)   in the case of a small fluorescence lifetime.,2502.01037
definition,Assume \eqref{ellcondition1} and \eqref{ellcondition2}. We define approximate peak time $t^{p}_\infty$ by the positive solution to \eqref{NonlinearScheme} in the case of a large fluorescence lifetime.,2502.01037
proof,"We first study the asymptotic behavior of the positive solution to $P(t)=0$ in \eqref{cubicpoly}.  The positive solution $t_0>0$ to   - k  - \frac{3}{2} t^{-1} + \lambda^2 t^{-2} - \frac{2\beta v D}{x_{c_3} + \beta v D t} = 0  satisfies     t_0 =  k^{-\frac{1}{2}}\lambda - \frac{7}{4}k^{-1} + \frac{\sqrt{k}}{\sqrt{k}+\beta\sqrt{vD}}k^{-1}  + O\left(\lambda^{-1}\right) \quad \mbox{as} \quad \lambda \gg 1.     Define $\tilde{t}>0$ as the positive solution to $$ -k  - \frac{3}{2} t^{-1} + \lambda^2 t^{-2} =0. $$ Then we obtain   \tilde{t} = \frac{1}{2k} \left( \left[ 4k\lambda^2 + \left(\frac{3}{2}\right)^2 \right]^\frac{1}{2} - \frac{3}{2}  \right)  = k^{-\frac{1}{2}}\lambda - \frac{3}{4}k^{-1} + O\left( \lambda^{-1} \right)    as $\lambda \gg 1$. Set $t_0 := \tilde{t} + \varepsilon$ with $\varepsilon = o(\lambda)$ as $\lambda \gg 1$. By \eqref{betazeroeq}, we obtain   P(t_0) &= - k  - \frac{3}{2} \left(\tilde{t} + \varepsilon\right)^{-1} + \lambda^2 \left(\tilde{t} + \varepsilon\right)^{-2}  - 2\beta v D  \left( x_{c_3} + \beta v D [\tilde{t} + \varepsilon]\right)^{-1} \\  &=  -2\beta v D \left( x_{c_3} + \beta v D \tilde{t} \right)^{-1}  + \left[ -2 \lambda^2 \tilde{t}^{-3} + \frac{3}{2}\tilde{t}^{-2} + 2(\beta v D)^2  \left( x_{c_3} + \beta v D \tilde{t} \right)^{-2}\right]\varepsilon +  O\left( \lambda^{-2}\varepsilon^2 \right) \\   &= 0.   This together with  \eqref{defk} and \eqref{betazeroasymp} implies that   \varepsilon &= \frac{2\beta v D}{ x_{c_3} + \beta v D \tilde{t}} \times \frac{1}{-2 \lambda^2 \tilde{t}^{-3} + \frac{3}{2}\tilde{t}^{-2} + 2(\beta v D)^2  \left( x_{c_3} + \beta v D \tilde{t} \right)^{-2}} + \cdots \\  &= -\frac{\beta v D}{ x_{c_3} + \beta v D \tilde{t}} \times \frac{\tilde{t}^3}{\lambda^2} +  O\left( \lambda^{-1} \right) \quad \mbox{as} \quad \lambda \gg 1.   Note that $x_{c_3} \sim \sqrt{vD} \lambda$.  By \eqref{betazeroasymp}, the dominant part of $\varepsilon$ is    -\frac{\beta v D}{ x_{c_3} + \beta v D \tilde{t}} \times \frac{\tilde{t}^3}{\lambda^2}  &= -\frac{\beta v D}{ \sqrt{vD} + \beta v D k^{-\frac{1}{2}}} k^{-\frac{3}{2}} +  O\left( \lambda^{-1} \right)\\ &= -\frac{\beta\sqrt{vD}}{\sqrt{k} + \beta\sqrt{vD}}k^{-1}  +  O\left( \lambda^{-1} \right) \quad \mbox{as} \quad \lambda \gg 1.   Then we obtain the asymptotic expansion    t_0 &= \tilde{t} + \varepsilon  =  k^{-\frac{1}{2}}\lambda - \frac{3}{4}k^{-1} - \frac{\beta\sqrt{vD}}{\sqrt{k} + \beta\sqrt{vD}}k^{-1} +  O\left( \lambda^{-1} \right) \\ &=  k^{-\frac{1}{2}}\lambda - \frac{7}{4}k^{-1} + \frac{\sqrt{k}}{\sqrt{k}+\beta\sqrt{vD}}k^{-1}  +  O\left( \lambda^{-1} \right) \quad \mbox{as} \quad \lambda \gg 1,   and the proof of Proposition \ref{ellzero} is complete.",2502.01037
proof,"Set  t = (k-\ell^{-1})^{-\frac{1}{2}} \lambda + \varepsilon, \quad \mbox{where} \quad \varepsilon = o (\lambda) \quad \mbox{as} \quad \lambda \gg 1.  Since $$ \left(\frac{x_{c_3}+\beta vDt }{x_{c_3}+\beta vD \lambda (k-\ell^{-1})^{-\frac{1}{2}}}\right)^2 = 1 + O\left( \lambda^{-1} \varepsilon \right), $$ we obtain from \eqref{NonlinearScheme} that   e^{-\frac{(k-\ell^{-1})\varepsilon^2}{(k-\ell^{-1})^{-1/2} \lambda + \varepsilon}} &= \pi^{\frac{1}{2}} \ell^{-1} \lambda^{-1} t^{\frac{3}{2}} \left[ 1+ O\left( \lambda^{-1} \varepsilon \right) \right] \\  &=\pi^{\frac{1}{2}} \ell^{-1} \lambda^{-1}   \left( [(k-\ell^{-1})^{-\frac{1}{2}} \lambda ]^{\frac{3}{2}} + O\left( \lambda^\frac{1}{2} \right) \right)  \left( 1+ O\left( \lambda^{-1} \varepsilon \right) \right) \\ &= \alpha \lambda^\frac{1}{2} \left[ 1 + O\left( \lambda^{-1} \right) \right] \quad \mbox{with} \quad  \alpha:= \pi^{\frac{1}{2}} \ell^{-1} (k-\ell^{-1})^{-\frac{3}{4}}   as $\lambda \gg 1$. By   -\frac{(k-\ell^{-1})\varepsilon^2}{(k-\ell^{-1})^{-1/2} \lambda + \varepsilon} = -(k-\ell^{-1})^\frac{3}{2} \varepsilon^2 \left[ \lambda^{-1} + O\left( \lambda^{-2}\varepsilon \right) \right] \quad \mbox{as} \quad \lambda \gg 1,   and   \log\left( \alpha \lambda^\frac{1}{2} \left[ 1 + O\left( \lambda^{-1} \right) \right]\right) = \log\left(\alpha \lambda^\frac{1}{2} \right) +  O\left( \lambda^{-1} \right) \quad \mbox{as} \quad \lambda \gg 1,   we obtain   \varepsilon^2 = (k-\ell^{-1})^{-\frac{3}{2}} \left( -\log\left[ \alpha \lambda^\frac{1}{2} \right] \right) \lambda + O\left( 1 \right) \quad \mbox{as} \quad \lambda \gg 1.  Since $0<\alpha \lambda^{1/2} <1$, we have  $$ \varepsilon =  (k-\ell^{-1})^{-\frac{3}{4}} \left( -\log\left[ \alpha \lambda^\frac{1}{2} \right] \right)^\frac{1}{2} \lambda^\frac{1}{2} + O\left( \lambda^{-\frac{1}{2}} \right) \quad \mbox{as} \quad \lambda \gg 1. $$ Then we have the asymptotic expansion of the approximate peak time   t &= (k-\ell^{-1})^{-\frac{1}{2}} \lambda + \varepsilon \\ &=(k-\ell^{-1})^{-\frac{1}{2}} \lambda + (k-\ell^{-1})^{-\frac{3}{4}} \left( -\log\left[ (\pi^{\frac{1}{2}} \ell^{-1} (k-\ell^{-1})^{-\frac{3}{4}}) \lambda^\frac{1}{2} \right] \right)^\frac{1}{2} \lambda^\frac{1}{2}    as $\lambda \gg 1$, and the proof the Theorem \ref{thm_linfty} is complete.",2502.01037
proposition,The positive solution $t_0>0$ to   - k  - \frac{3}{2} t^{-1} + \lambda^2 t^{-2} - \frac{2\beta v D}{x_{c_3} + \beta v D t} = 0  satisfies     t_0 =  k^{-\frac{1}{2}}\lambda - \frac{7}{4}k^{-1} + \frac{\sqrt{k}}{\sqrt{k}+\beta\sqrt{vD}}k^{-1}  + O\left(\lambda^{-1}\right) \quad \mbox{as} \quad \lambda \gg 1.,2502.01037
lemma,"Let $x_d, \; x_s\in\partial\Omega$, and assume that   \Big| |x_d-x_c|^2-|x_s-x_c|^2 \Big| \le C t \quad {\rm for\; some} \quad C>0.   Define  k: = v \mu _a , \quad \lambda^2: = \frac{|x_d-x_c|^2+|x_s-x_c|^2}{2vD}.  Then, $u_m$ satisfies   u_m(t) = u^a_m(t) + O \left( u^a_m(t) \lambda^{-1}  \right),\;\; \lambda \gg 1,   where   &u^a_m(t) = C_0 e^{-kt}  t^{-\frac{3}{2}} e^{-\frac{\lambda^2}{t}} \left(\frac{x_{c_3}}{x_{c_3}+\beta v D t}\right)^2 \quad \mbox{with} \quad C_0 := \frac{c}{8\pi^\frac{5}{2} v^\frac{1}{2} D^\frac{3}{2} } \left( \frac{1}{|x_d-x_c|} + \frac{1}{|x_s-x_c|} \right).",2502.01037
lemma,"Assume $t>\lambda k^{-\frac{1}{2}}$. Then $u^a_m$ of \eqref{defIt} satisfies   \int_0^t  e^{-(ks+\lambda^2 s^{-1})} f(s) \; {\rm d}s = k^{-\frac{3}{4}} \left( \pi \lambda \right)^\frac{1}{2}   e^{-2 \lambda \sqrt{k}} f( \lambda k^{-\frac{1}{2}})  + O\left( \lambda^{-\frac{3}{2}} e^{-2 \lambda \sqrt{k} }  f( \lambda k^{-\frac{1}{2}}) \right)   as $\lambda \gg 1$, where $k>0$ and $\lambda$ are as in \eqref{defk}.",2502.01037
example,"Let $\ell=100 \; {\rm ps}$. Supposing that  $x_c=(8,\,7,\,20)$ and $x_c=(8,\,7,\,30)$, we show the results of numerical reconstructions from noise-free measurements for different initial S-D pairs in Table \ref{tbl:ex_small_lt01}. The results of the measurements containing different noise levels are shown in Table \ref{tbl:ex_small_lt02}.",2502.01037
