text_a,text_b,label_real,prediccio,similitud
"[Approximation bound for  CNN] 		With the same settings as in Theorem \ref{Th:my_bound_extend_new} 		and for a purely convolutional network without biases, where each layer applies \( c_l \) filters of size \( p_l \times p_l \), we have: 		 		  			 				&\sup_{x \in \Omega}\| R_{\theta}(x) - R_{\theta'}(x) \|_{\infty} \\ 				&\leq D \times \sum_{l=1}^{L} p_{l}^2 c_{l-1} \times r_{conv}^{L-1} \|\theta - \theta'\|_\infty 			 		 		where we define 		 			r_{conv} := \sqrt[L-1]{\max_{l=1, \dots, L}\prod\limits_{\substack{k=1 \\ k \neq l}}^{L} r^{\text{conv}}_k} 		 		 		with $r^{conv}_k$  a bound on the norm of the convolutional matrix of layer $k$ without bias (i.e. $r^{conv}_k \geq  \|\mathcal{H}_k\|_{op,\infty}$).",The second moment of this activation is:   \mathbb{E}[F(x)^2] = a_0^2 +  \frac{1}{2}\sum_{k=1}^{n} \left( a_k^2 + b_k^2 \right)       The proof relies on the orthonormality property \ref{property:fourier_ortho} and is detailed in Appendix \ref{appendix:fourier}.,0.0,1,0.6369878053665161
"[Sequential composition of maps] Let $\Phi:Q_1\to R_1Q_2S_1, \Psi:Q_2\to R_2S_2$ be two CP maps and write $R^2:=R_1R_2$, $S^2:=S_1S_2$, then for any $1\leq q,r,s\leq\infty$      \|\Psi\circ\Phi\|_{cb,(Q_1:q)\to(R^2:r,S^2:s)} &\leq \|\Psi\|^{+}_{cb,(Q_2:q)\to(R_2:r,S_2:s)} \cdot \|\Phi\|^{+}_{cb,(Q_1:q)\to(R_1:r,Q_2:q,S_1:s)}.","Consider a sequence $\{T_i\}_{i > 0}$ of operators of the form $T_i(\theta) = \theta + h V_i(\theta)$, where $V_i(\theta)$ is a vector field on the parameter space. Then for any choice of indices $i_1, \dots, i_k$ we have that      T_{i_1}  \cdots T_{i_k}=       1     + h \sum_{l=1}^k V_{i_l}     + h^2 \sum_{1\leq u < v \leq k} V_{i_u}' V_{i_v}     + \mathcal O(h^3)",0.0,1,0.7033265829086304
"For any set $\Delta\subseteq\Omega$, we can find the set $\Delta^{C(X)}$ in time $n|X|$. If desired, for all $\gamma\in \Delta^{C(X)}$, we can in that same time find an $\beta\in \Delta$ and a word representing an element $g$ of $C(X)$ with $\beta^g=\gamma$.","[\cite{BabaiSzemeredi1984}]   For $j>1$,   the cube $C(x_1,\ldots,x_j)$ is non-degenerate iff both   of the following hold:        \item The       cube $C(x_1,\ldots,x_{j-1})$ is non-degenerate.     \item The element $x_j$ satisfies       $x_j\not\in C(x_1,\ldots,x_{j-1})^{-1}C(x_1,\ldots,x_{j-1})$.",1.0,0,0.2546199560165405
"For the distribution given in (1.8) and under the assumptions of Theorem \ref{mgf.theo}, the following recurrence relation is satisfied  		  			M_{r,s,n,m,k}^{p,q}(t_{1},t_{2})=\dfrac{\gamma_{s}}{(q+1)}\left[M_{r,s,n,m,k}^{p,q+1}(t_{1},t_{2})-M_{r,s-1,n,m,k}^{p,q+1}(t_{1},t_{2})\right]-\left(\dfrac{2-\theta}{2}\right)\dfrac{\gamma_{s}^{k-m,n+1}C^{*}}{(q+1)}\nonumber \\ \,\,\,\,\,\,  			\times\left[M_{r,s,n+1,m,k-m}^{p,q+1}(t_{1},t_{2})-M_{r,s-1,n+1,m,k-m}^{p,q+1}(t_{1},t_{2})\right]- \dfrac{t_{2}}{(q+1)}M_{r,n,m,k}^{p,q+1}(t_{1},t_{2}),\,\, m\ne-1\,\,\","%Let $n\in\NN$. We have $H_1^{(n,0)}=(U^{(n,0)})^TD^{(n,0)}U^{(n,0)}$ where $D=\diag(((-1)^k)_{k\geq 0})$ and $U=(u_{i,j})_{i,j\geq 0}$ with  %$$u_{i,j}=1_{2\NN_0(j-i)}(-1)^{(j-i)/2} \frac{(i+1)^{(j-i)}}{({i+2})^{(\frac{j-i}{2})}(\frac{j-i}{2})!}=1_{2\NN_0(j-i)}(-1)^{(j-i)/2} \frac{i+1}{j+1}\binom{j+1}{(j-i)/2}$$  %where $l^{(k)}$ with $l,k\in\NN$ denotes the rising factorial $l(l+1)\cdots(l+k-1)$.   %",0.0,1,0.788734495639801
"When $p_0, p_1 \geq \frac{1}{2}$, the optimal policy choices at the two states are:              \item $b \in [0, b_l) $                                        a_0 = p_0, ~ a_1 = \eta_1^{-}(b), &\mbox{if}~ |\frac{1}{2} - p_1 | \geq |\frac{1}{2} - p_0 |\\                 a_0 = \eta_0^{-}(b), ~ a_1 = p_1, &\mbox{if} ~ |\frac{1}{2} - p_1 | < |\frac{1}{2} - p_0 |                                \item $b \in [b_l, b_h)$                       & a_0 = a_1 = -M(\frac{b}{2} - \mathbf{d}_{0}^\gamma p_0 - \mathbf{d}_{1}^\gamma p_1 )                   \item $b \in [b_h, \infty)$                       & a_0 = a_1 = \frac{1}{2}                   where we defined                           b_l & = 2\max\{(1 -\gamma p_0 - \mathbf{d}^{\gamma}_0 )(p_1 - p_0), \notag\\             &\qquad\qquad\qquad (\mathbf{d}^{\gamma}_0 +\gamma p_1)(p_0 - p_1)\}\\ 		b_h & = (2\mathbf{d}^{\gamma}_0 +\gamma)(p_0 - p_1)+2p_1-1\\         M & = \frac{1}{1-\gamma p_0 + \gamma p_1}.","[Generalized variational expressions] Let $\mathcal{X}$ be an operator space. Then for $1\leq p\leq q\leq \infty$ and $\frac{1}{r}=\frac{1}{p}-\frac{1}{q}$, the following variational formulas hold for any $X\in \mathcal{S}_p[\mathcal{H},\mathcal{X}],\mathcal{S}_q[\mathcal{H},\mathcal{X}]$ respectively:  \operatorname{(i)}\qquad&\|X\|_{\mathcal{S}_p[\mathcal{H},\mathcal{X}]}=\inf_{\substack{X=FYG\\F,G\in \mathcal{S}_{2r}(\mathcal{H}), Y\in\mathcal{S}_q[\mathcal{H}, \mathcal{X}] }} \|F\|_{2r} \|Y\|_{\mathcal{S}_q[\cH,\mathcal{X}]}\|G\|_{2r}\\ \operatorname{(ii)}\qquad &\|X\|_{\mathcal{S}_q[\mathcal{H},\mathcal{X}]} = \sup_{F,G\in \mathcal{S}_{2r}(\mathcal{H})}\|F\|_{2r}^{-1}\|FXG\|_{\mathcal{S}_p[\mathcal{H},\mathcal{X}]}\|G\|_{2r}^{-1}\,.",0.0,1,0.5913175344467163
"Let $2\leq k\leq 3$ and $1\leq a_1\leq \ldots a_k \leq n/6$. Then for every $v \in [n]$ and collection of $k$ matchings $M_{i_1},\ldots, M_{i_k}$ we have that      \PP\left(\bigcap_{j=1}^k (c_{v,i_{j}}=a_j)\right)=O(n^{-k}).","[Existence and uniqueness \cite{HofmeisterThesis} {\cite[art.\ 74]{GS2}} ] 	The spectral degree exponent (SDE) exists, is unique and is bounded in $q \in [2,\infty]$.",0.0,1,0.611587643623352
"Let $L \# R$ denote $S^1 \times B^3 \# S^1 \times B^3$, where $L$ and $R$ are $S^1 \times B^3$'s. Let $\Sigma$ denote the $S^3$ along which $L$ and $R$ are identified in the connect sum.           \noindent Consider the barbell diffeomorphism $\beta_k: L \# R \rightarrow L \# R$ given by the red barbell implantation below, $k\geq 4$. As in \cite{BG}, we think of $S^1 \times B^3$ as $S^1 \times D^2 \times [-1,1]$, where the $t\in[-1,1]$ parameter represents time. We think of $L \# R$ as two copies of $(S^1 \times D^2) \times [-1,1] \setminus D^3 \times (-0.5, 0.5)$ ($L$ on the left and $R$ on the right) which are identified along the $S^3$ boundary of the $B^4=D^3 \times [-0.5,0.5]$. \Cref{beta} shows the barbell in the $t=0$ slice of $L\# R$. The orange $S^2$'s on left and right are identified and depict the equatorial cross-section of $\Sigma$ in this slice, which gets filled in by $B^3$'s in the future and past.           [h!]         \centering         \includegraphics[width=0.5\linewidth]{beta.jpeg}         \caption{$\beta_k$ in the $t=0$ slice of $L\# R$. The numbering on the orange $S^2$'s denotes which points are identified.}                    \noindent First we note that $\beta_k$ is not isotopic to the identity. If it were, then after gluing an $S^2 \times D^2$ to $R$ and extending $\beta_k$ over it by the identity, the extension $\hat{\beta_k}$ would also be isotopic to the identity as a diffeomorphism of $L \# (R \cup_{S^1 \times S^2}D^2 \times S^2)=S^1 \times B^3 \# S^4 \approx S^1 \times B^3$. On the other hand, we can see that $\hat{\beta_k} \approx  \delta_k$ of \cite{BG} (\Cref{isotope beta to delta}), which they showed to be nontrivial in $\pi_0(\text{Diff}_\partial(S^1 \times B^3)/\text{Diff}_\partial(B^4))$ for $k\geq 4$.          [h!]         \centering         \includegraphics[width=0.75\linewidth]{isotope_beta_to_delta.jpeg}         \caption{The isotopy of $\hat{\beta_k}$ to $\delta_k.$ Note that we also recover $\delta_k$ if we cap off $L$ rather than $R$.}                     \noindent Now suppose that $\beta_k(\Sigma)$ is isotopic to $\Sigma$. By \cite{Ce}, $\beta_k$ is isotopic rel $\partial$ to a diffeomorphism $\Bar{\beta}_k$ such that $\Bar{\beta}_k\restriction_\Sigma=id$. Then $\Bar{\beta_k}$ factors as a diffeomorphism $\Bar{\beta_k}=f_L \# f_R$, where $f_L$ and $f_R$ are diffeomorphisms of $L \setminus B^4$ and $R \setminus B^4$ that are the identity near the $S^1 \times S^2 \sqcup S^3$ boundary (\Cref{fLfR}). Moreover, since $\Bar{\beta_k}\not\approx id$ rel $B^4$, then either $f_L\not\approx id$ rel $B^4$ or $f_R\not\approx id$ rel $B^4$. Suppose $f_L\not\approx id$ rel $B^4$. Fill in the missing $B^4$ to $L\setminus B^4$ and extend $f_L$ over it by the identity, and let $\hat{f_L}: S^1 \times B^3 \rightarrow S^1 \times B^3$ denote the extension. Then $\hat{f_L}$ is nontrivial in $\pi_0(\text{Diff}_\partial (S^1 \times B^3)/\text{Diff}_\partial (B^4))$: after gluing an $S^2 \times D^2$ to $R$ in $L \# R$ and extending $f_L \# f_R$ over it by the identity, the extension $\hat{f_L \# f_R}$ agrees with $\hat{f_L}$ outside of a $B^4$ containing $R\setminus B^4 \cup_{S^1\times S^2} D^2 \times S^2 \subset S^1 \times B^3$, so $\hat{f_L}=\hat{f_L \# f_R}$ in $\text{Diff}_\partial (S^1 \times B^3)/\text{Diff}_\partial (B^4)$; since $f_L \# f_R \approx \beta$ in $L \# R$, then $\hat{f_L \# f_R} \approx \hat{\beta}$ in $S^1 \times B^3$, and $\hat{\beta}$ was nontrivial in $\pi_0(\text{Diff}_\partial (S^1 \times B^3)/\text{Diff}_\partial (B^4))$ as we saw above.            [h!]          \centering          \includegraphics[width=0.4\linewidth]{fL_fR.jpeg}          \caption{Schematic of $f_L \# f_R$.}                       \noindent Consider the $k$-fold cyclic cover $X\approx \#_{k+1} S^1 \times B^3$ of $L \# R$ obtained by ""unwinding"" the $R$ factor; see \Cref{2D pic} for the analogous 2-dimensional picture.       [h!]          \centering          \includegraphics[width=0.4\linewidth]{2D_pic.jpeg}          \caption{The 2-dimensional analogue of $X$ for $k=5$. The central $S^1 \times B^1$ covers $R$, and the orbiting $S^1 \times B^1$'s cover $L$.}                       \noindent Lifting the barbell representing $\beta_k$ to $X$ and considering the resultant lift $\Tilde{\beta_k}:X \rightarrow X$ of $\beta_k$, we see that $\Tilde{\beta_k}$ is represented by $k$ disjoint copies of a barbell which can be isotoped into a $B^4\subset X$, so that $\Tilde{\beta_k}$ is a composition of trivial elements in $\pi_0(\text{Diff}_\partial(X)/\text{Diff}_\partial(B^4))$ and is therefore trivial too. (\Cref{beta lift})       [h!]          \centering          \includegraphics[width=0.75\linewidth]{lift_of_beta.jpeg}          \caption{One of the $k$ copies of the barbell for the lift $\Tilde{\beta_k}$ when $k=5$. Here we depict the $t=0$ slice of $X\approx \#_{k+1} S^1 \times D^2 \times [-1,1]$. The orange $S^2$'s are cross-sections of the $k$ $S^3$'s which we identify in the connect sum, and are labeled according to that identification. The barbell begins in $L_1$, hits $\Sigma_1$ and travels to $\Tilde{R}$, then hits $\Sigma_2$ and travels to $L_2$, and so on until ending in $L_5$.  The barbell no longer loops around any $S^1$ factors, so we can pull it into a 4-ball.}                       \noindent On the other hand, consider the lift of $f_L \# f_R$ to $X$; call it $F$. Let $L_1,...,L_k$ denote the $S^1 \times B^3$ summands of $X$ which cover $L$, let $\Tilde{R}$ denote the $S^1 \times B^3$ summand of $X$ which covers $R$, and let $\Sigma_1,...\Sigma_k$ denote the $S^3$'s in $X$ which cover $\Sigma$. Then $F\restriction_{L_i}=f_L$, $F\restriction_{\Tilde{R}}=\Tilde{f_R}$ some lift of $f_R$, and $F$ is the identity on a neighborhood of $\partial X$ and of $\Sigma_1,...,\Sigma_k$.  (\Cref{lift of fL fR})       [h!]          \centering          \includegraphics[width=0.4\linewidth]{lift_of_fL_fR.jpeg}          \caption{Schematic of the lift $F$ for $k=5$.}                       \noindent But $F$ is nontrivial in $\pi_0(\text{Diff}_\partial(X)/\text{Diff}_\partial(B^4))$; if it were trivial, then after gluing $D^2 \times S^2$'s to $L_2,...,L_k, \Tilde{R}$ and extending $F$ over them by the identity, the extension $\hat{F}:S^1 \times B^3 \rightarrow S^1 \times B^3$ would also be trivial in $\pi_0(\text{Diff}_\partial(S^1 \times B^3)/\text{Diff}_\partial(B^4))$. But $\hat{F}=\hat{f_L}$ outside of a $B^4 \subset S^1 \times B^3$, so $\hat{F}=\hat{f_L}$ in $\text{Diff}_\partial(S^1 \times B^3)/\text{Diff}_\partial(B^4)$, and $\hat{f_L}$ was nontrivial in $\pi_0(\text{Diff}_\partial(S^1 \times B^3)/\text{Diff}_\partial(B^4))$ by assumption. So $F$ is nontrivial in $\pi_0(\text{Diff}_\partial(X)/\text{Diff}_\partial(B^4))$.        \noindent Therefore $F\not\approx \Tilde{\beta_k}$, so $f_L \# f_R \not\approx \beta_k$, giving us our contradiction. Therefore $\beta_k(\Sigma)$ is not isotopic to $\Sigma$.       \noindent Replacing $\beta_k$ by $\beta_i \circ \beta_j^{-1}$ for $i\neq j, i, j \geq 4$, and lifting to the $ij$ -fold cyclic cover of $L\#R$, we see that $\beta_i \circ \beta_j^{-1}(\Sigma)\not\approx \Sigma$; therefore all the $\beta_k$'s for $k\geq 4$ give pairwise non-isotopic $S^3$'s in $S^1 \times B^3 \# S^1 \times B^3$, providing our infinite family of non-isotopic splitting spheres for two unlinked, unknotted $S^2$'s in $S^4$.","Assume agents who influence of every $i\in \mathcal{V}_R$ are  defined by $\mathcal{N}_i$ and assigned such that              \left(\bigwedge_{l\in \mathcal{M}}\bigwedge_{i\in \mathcal{V}_{l}}\left(\mathcal{N}_i\subset \mathcal{W}_{l}\right)\right).         Then, matrix  $\bar{\mathbf{A}}\in \mathbb{R}^{N_R\times N_R}$ is reducible and obtained by              \bar{\mathbf{A}}=             \bar{\mathbf{A}}_{11}&\cdots&\mathbf{0}\\             \vdots&\ddots&\vdots\\             \bar{\mathbf{A}}_{M1}&\cdots&\bar{\mathbf{A}}_{MM}\\                  ,                   \bar{\mathbf{S}}=             \mathbf{Q}_1\mathbf{S}\\             \mathbf{0}_{\left(N_R-N_1\right)\times \left(N-N_R\right)}                  \in\mathbb{R}^{N_R\times \left(N-N_R\right)}.",0.0,1,0.6334348917007446
"Every connected graph \(G = (V,E)\) with at least three nodes satisfies the inequality     \[         \energy{G} \leq \sum_{v \in V'} \sqrt{3l(v) + d(v)} = \sum_{v \in V'} \sqrt{4l(v) + \delta(v)}.     \]     This equality holds if and only if \(G\) is isomorphic to a star.","For every $n\in \mathbb N$, $m\in \mathbb Z_+$ and $k\in \llbracket 1; E_{p,n}(m)+1 \rrbracket$, 	\setlength{\jot}{10pt} 	       && \hspace{-1cm}\mathbb{P}\left( \Delta G_{p,n}(m)=k ~| ~ \mathbf{F}_{p,n}(m)\right) \\ 	  & =&\binom{V_{p,n}(m)}{k} \cdot k^{k-2} \cdot \frac{\#\mathcal{W}(V_{p,n}(m)-k,E_{p,n}(m)-k+1)}{\#\mathcal{W}(V_{p,n}(m),E_{p,n}(m))} \cdot \left(\frac{k(k-1)+2pkG_{p,n}(m)}{n(n-1)}\right), 	 	with the conventions $\#\mathcal{W}(0,0)=1$, $\#\mathcal{W}(N,N)=0$ for any $N \in \mathbb N$, $\#\mathcal{W}(-1,0)=0$, 	and  	$$\mathbb{P}\left(\Delta D_{p,n}(m)=1~| ~ \mathbf{F}_{p,n}(m)\right)=2(1-p) \cdot \frac{G_{p,n}(m)(n-G_{p,n}(m))}{n(n-1)}+\frac{G_{p,n}(m)(G_{p,n}(m)-1)}{n(n-1)}.$$",0.0,1,0.5289741158485413
"The approximate peak time for a large fluorescence lifetime satisfies   t^{p}_\infty = (k-\ell^{-1})^{-\frac{1}{2}} \lambda + (k-\ell^{-1})^{-\frac{3}{4}} \alpha_\lambda \lambda^\frac{1}{2}  + O\left( \lambda^{-\frac{1}{2}} \right) \quad \mbox{as} \quad \lambda \gg 1,    where $\alpha_\lambda>0$ is   \alpha_\lambda := \left(-\log\left[ (\pi^{\frac{1}{2}} \ell^{-1} (k-\ell^{-1})^{-\frac{3}{4}}) \lambda^\frac{1}{2} \right] \right)^\frac{1}{2} < \infty.","For every $A\in \left(1/2,1\right)$, there exists $c_{A}>0$ such that for  $n$ large enough 		$$\mathbb{P}\left(\exists m\in \left[n/2,An\right]:\, 2E_{p,n}(m)-V_{p,n}(m)\geq \ln(n)^3 n^{2/3}\right) \leq \mathrm{e}^{-c_A\ln(n)^2}.$$",0.0,1,0.6467683911323547
"[Properties of $\HCT$ basis] 	 	% 	We have 	$% 	\sum_{z \in \vertices} \Upsilon^0_z = 1 \text{ in }\Omega, 	$ % 	where, for all $z \in \vertices$, 	 		\operatorname{supp}\Upsilon_z^0=\omega_z, 		\quad%\text{and}\quad 		h_z^2\norm[L^\infty(\Omega)]{D^2\Upsilon_z^0}\eqsim 		h_z\norm[L^\infty(\Omega)]{\nabla\Upsilon_z^0}\eqsim\norm[L^\infty(\Omega)]{\Upsilon_z^0}\eqsim1. 	 	Furthermore, for all $z \in \vertices$, $j=1,2$,  all $T\in\grid$ with $T\ni z$,  as well as  all \(F\in\sides\), $T \in \grid$ with $T \supset F$, 	 		\operatorname{supp}\Upsilon_z^j = \omega_z, 		\quad 		\norm[L^2(T)]{D^2\Upsilon_z^j} \lesssim 1, 		\qquad  		\operatorname{supp}\Upsilon_F = \omega_F, 		\quad 		\norm[L^2(T)]{D^2\Upsilon_F} \lesssim 1. 	 	All hidden constants only depend on the shape constant \(\gamma_\grid\).","[Lower Bound]  Asymptotically,       \inf_{\hat{T}_{\text{\normalshape priv}}} \sup_{P \in \mathcal{M}, T_0 \in \mathcal{T}_{\alpha}}    &\E\p{\int \| T_0 - \hat{T}_{\text{\normalshape priv}}  \|^2 dP} \\    &\gtrsim  \frac{1}{n} \vee n^{- \frac{2 \alpha}{2 \alpha - 2 + d}} \vee (n\epsilon)^{- \frac{2 \alpha}{\alpha - 1 + d}}       where the infimum is taken over all estimators $\hat{T}_{\text{\normalshape priv}}$'s that are $\epsilon$-DP.",0.0,1,0.5057643055915833
